time,w_expl_0,w_expl_1,w_RK2_0,w_RK2_1,exact_solution_0,exact_solution_1
10.200000,-0.929069,-0.895021,-0.711400,-0.703014,-0.714266,-0.699875
10.250000,-0.884318,-0.941475,-0.675360,-0.737705,-0.678394,-0.734698
10.300000,-0.837244,-0.985690,-0.637631,-0.770551,-0.640826,-0.767686
10.350000,-0.787959,-1.027553,-0.598306,-0.801469,-0.601657,-0.798754
10.400000,-0.736582,-1.066951,-0.557485,-0.830383,-0.560984,-0.827826
10.450000,-0.683234,-1.103780,-0.515269,-0.857219,-0.518909,-0.854829
10.500000,-0.628045,-1.137941,-0.471764,-0.881911,-0.475537,-0.879696
10.550000,-0.571148,-1.169344,-0.427079,-0.904397,-0.430976,-0.902363
10.600000,-0.512681,-1.197901,-0.381325,-0.924620,-0.385338,-0.922775
10.650000,-0.452786,-1.223535,-0.334617,-0.942531,-0.338737,-0.940881
10.700000,-0.391609,-1.246174,-0.287073,-0.958083,-0.291289,-0.956635
10.750000,-0.329301,-1.265755,-0.238810,-0.971239,-0.243113,-0.969998
10.800000,-0.266013,-1.282220,-0.189949,-0.981966,-0.194330,-0.980936
10.850000,-0.201902,-1.295521,-0.140613,-0.990236,-0.145061,-0.989423
10.900000,-0.137126,-1.305616,-0.090926,-0.996029,-0.095429,-0.995436
10.950000,-0.071845,-1.312472,-0.041011,-0.999330,-0.045559,-0.998962
11.000000,-0.006221,-1.316064,0.009007,-1.000131,0.004426,-0.999990
11.050000,0.059582,-1.316375,0.059002,-0.998431,0.054399,-0.998519
11.100000,0.125401,-1.313396,0.108850,-0.994233,0.104236,-0.994553
11.150000,0.191070,-1.307126,0.158426,-0.987547,0.153813,-0.988100
11.200000,0.256427,-1.297573,0.207605,-0.978392,0.203005,-0.979178
11.250000,0.321305,-1.284751,0.256265,-0.966788,0.251690,-0.967808
11.300000,0.385543,-1.268686,0.304284,-0.952767,0.299745,-0.954019
11.350000,0.448977,-1.249409,0.351542,-0.936361,0.347052,-0.937846
11.400000,0.511448,-1.226960,0.397921,-0.917614,0.393491,-0.919329
11.450000,0.572796,-1.201388,0.443304,-0.896571,0.438946,-0.898513
11.500000,0.632865,-1.172748,0.487579,-0.873285,0.483305,-0.875452
11.550000,0.691502,-1.141105,0.530633,-0.847814,0.526455,-0.850203
11.600000,0.748558,-1.106530,0.572361,-0.820223,0.568290,-0.822829
11.650000,0.803884,-1.069102,0.612656,-0.790580,0.608704,-0.793398
11.700000,0.857339,-1.028907,0.651420,-0.758959,0.647596,-0.761984
